"","year","month","day","avg.max.temp"
"313",1979,11,9,287.445953995142
"314",1979,11,10,287.218370858217
"315",1979,11,11,286.999813445933
"316",1979,11,12,286.741071993091
"317",1979,11,13,287.101671888191
"318",1979,11,14,287.352433111729
"319",1979,11,15,287.454335424402
"320",1979,11,16,287.878291935624
"321",1979,11,17,288.316718831604
"322",1979,11,18,288.013438991225
"323",1979,11,19,287.936286255554
"324",1979,11,20,287.640947010753
"325",1979,11,21,287.401004939376
"326",1979,11,22,287.059063921918
"327",1979,11,23,286.697483361772
"328",1979,11,24,286.838734123034
"329",1979,11,25,287.007059045589
"330",1979,11,26,287.055837772355
"331",1979,11,27,287.16511707236
"332",1979,11,28,286.266606268691
"333",1979,11,29,284.977012662224
"334",1979,11,30,283.489247843983
"335",1979,12,1,283.565030773568
"336",1979,12,2,284.493156461052
"337",1979,12,3,285.453967519907
"338",1979,12,4,286.46679655641
"339",1979,12,5,287.147217249608
"340",1979,12,6,287.077585719182
"341",1979,12,7,286.555336702787
"342",1979,12,8,285.767856161935
"343",1979,12,9,285.099088114085
"344",1979,12,10,284.932448558318
"345",1979,12,11,284.710882115626
"346",1979,12,12,284.479952974983
"347",1979,12,13,283.554557330792
"348",1979,12,14,283.133366866339
"349",1979,12,15,283.276965069334
"350",1979,12,16,283.706283594488
"351",1979,12,17,283.713514181284
"352",1979,12,18,283.213073727674
"353",1979,12,19,283.570220947266
"354",1979,12,20,284.972939431886
"355",1979,12,21,285.683379987221
"356",1979,12,22,285.363429573255
"357",1979,12,23,285.348055907309
"358",1979,12,24,285.28091966119
"359",1979,12,25,285.273243791629
"360",1979,12,26,285.168720253745
"361",1979,12,27,284.740525074494
"362",1979,12,28,284.516622466482
"363",1979,12,29,284.330077152462
"364",1979,12,30,284.255811603253
"365",1979,12,31,283.990810112027
"366",1980,1,1,283.668486626594
"367",1980,1,2,283.14087660793
"368",1980,1,3,282.24319736355
"369",1980,1,4,281.773301881224
"370",1980,1,5,281.655978172777
