lat,lon,dataset
21.75,-70.5,era
21.75,-69.75,era
21.75,-69,era
21.75,-68.25,era
21.75,-67.5,era
21.75,-66.75,era
21.75,-66,era
21.75,-65.25,era
21.75,-64.5,era
21.75,-63.75,era
21.75,-63,era
21.75,-62.25,era
21.75,-61.5,era
21.75,-60.75,era
21.75,-60,era
21.75,-59.25,era
21.75,-58.5,era
22.5,-136.5,era
22.5,-135.75,era
22.5,-135,era
22.5,-134.25,era
22.5,-133.5,era
22.5,-132.75,era
22.5,-132,era
22.5,-131.25,era
22.5,-130.5,era
22.5,-129.75,era
22.5,-129,era
22.5,-128.25,era
22.5,-127.5,era
22.5,-126.75,era
22.5,-126,era
22.5,-125.25,era
22.5,-124.5,era
22.5,-123.75,era
22.5,-123,era
22.5,-122.25,era
22.5,-121.5,era
22.5,-120.75,era
22.5,-120,era
22.5,-119.25,era
22.5,-118.5,era
22.5,-117.75,era
22.5,-117,era
22.5,-116.25,era
22.5,-115.5,era
22.5,-114.75,era
22.5,-114,era
22.5,-113.25,era
22.5,-112.5,era
22.5,-111.75,era
22.5,-111,era
22.5,-110.25,era
22.5,-109.5,era
22.5,-108.75,era
22.5,-108,era
22.5,-107.25,era
22.5,-106.5,era
22.5,-105.75,era
22.5,-105,era
22.5,-104.25,era
22.5,-103.5,era
22.5,-102.75,era
22.5,-102,era
22.5,-101.25,era
22.5,-100.5,era
22.5,-99.75,era
22.5,-99,era
22.5,-98.25,era
22.5,-97.5,era
22.5,-96.75,era
22.5,-96,era
22.5,-95.25,era
22.5,-94.5,era
22.5,-93.75,era
22.5,-93,era
22.5,-92.25,era
22.5,-91.5,era
22.5,-90.75,era
22.5,-90,era
22.5,-89.25,era
22.5,-88.5,era
22.5,-87.75,era
22.5,-87,era
22.5,-86.25,era
22.5,-85.5,era
22.5,-84.75,era
22.5,-84,era
22.5,-83.25,era
22.5,-82.5,era
22.5,-81.75,era
22.5,-81,era
22.5,-80.25,era
22.5,-79.5,era
22.5,-78.75,era
22.5,-78,era
22.5,-77.25,era
22.5,-76.5,era
22.5,-75.75,era
22.5,-75,era
22.5,-74.25,era
22.5,-73.5,era
22.5,-72.75,era
22.5,-72,era
22.5,-71.25,era
22.5,-70.5,era
22.5,-69.75,era
22.5,-69,era
22.5,-68.25,era
22.5,-67.5,era
22.5,-66.75,era
22.5,-66,era
22.5,-65.25,era
22.5,-64.5,era
22.5,-63.75,era
22.5,-63,era
22.5,-62.25,era
22.5,-61.5,era
22.5,-60.75,era
22.5,-60,era
22.5,-59.25,era
22.5,-58.5,era
23.25,-136.5,era
23.25,-135.75,era
23.25,-135,era
23.25,-134.25,era
23.25,-133.5,era
23.25,-132.75,era
23.25,-132,era
23.25,-131.25,era
23.25,-130.5,era
23.25,-129.75,era
23.25,-129,era
23.25,-128.25,era
23.25,-127.5,era
23.25,-126.75,era
23.25,-126,era
23.25,-125.25,era
23.25,-124.5,era
23.25,-123.75,era
23.25,-123,era
23.25,-122.25,era
23.25,-121.5,era
23.25,-120.75,era
23.25,-120,era
23.25,-119.25,era
23.25,-118.5,era
23.25,-117.75,era
23.25,-117,era
23.25,-116.25,era
23.25,-115.5,era
23.25,-114.75,era
23.25,-114,era
23.25,-113.25,era
23.25,-112.5,era
23.25,-111.75,era
23.25,-111,era
23.25,-110.25,era
23.25,-109.5,era
23.25,-108.75,era
23.25,-108,era
23.25,-107.25,era
23.25,-106.5,era
23.25,-105.75,era
23.25,-105,era
23.25,-104.25,era
23.25,-103.5,era
23.25,-102.75,era
23.25,-102,era
23.25,-101.25,era
23.25,-100.5,era
23.25,-99.75,era
23.25,-99,era
23.25,-98.25,era
23.25,-97.5,era
23.25,-96.75,era
23.25,-96,era
23.25,-95.25,era
23.25,-94.5,era
23.25,-93.75,era
23.25,-93,era
23.25,-92.25,era
23.25,-91.5,era
23.25,-90.75,era
23.25,-90,era
23.25,-89.25,era
23.25,-88.5,era
23.25,-87.75,era
23.25,-87,era
23.25,-86.25,era
23.25,-85.5,era
23.25,-84.75,era
23.25,-84,era
23.25,-83.25,era
23.25,-82.5,era
23.25,-81.75,era
23.25,-81,era
23.25,-80.25,era
23.25,-79.5,era
23.25,-78.75,era
23.25,-78,era
23.25,-77.25,era
23.25,-76.5,era
23.25,-75.75,era
23.25,-75,era
23.25,-74.25,era
23.25,-73.5,era
23.25,-72.75,era
23.25,-72,era
23.25,-71.25,era
23.25,-70.5,era
23.25,-69.75,era
23.25,-69,era
23.25,-68.25,era
23.25,-67.5,era
23.25,-66.75,era
23.25,-66,era
23.25,-65.25,era
23.25,-64.5,era
23.25,-63.75,era
23.25,-63,era
23.25,-62.25,era
23.25,-61.5,era
23.25,-60.75,era
23.25,-60,era
23.25,-59.25,era
23.25,-58.5,era
24,-136.5,era
24,-135.75,era
24,-135,era
24,-134.25,era
24,-133.5,era
24,-132.75,era
24,-132,era
24,-131.25,era
24,-130.5,era
24,-129.75,era
24,-129,era
24,-128.25,era
24,-127.5,era
24,-126.75,era
24,-126,era
24,-125.25,era
24,-124.5,era
24,-123.75,era
24,-123,era
24,-122.25,era
24,-121.5,era
24,-120.75,era
24,-120,era
24,-119.25,era
24,-118.5,era
24,-117.75,era
24,-117,era
24,-116.25,era
24,-115.5,era
24,-114.75,era
24,-114,era
24,-113.25,era
24,-112.5,era
24,-111.75,era
24,-111,era
24,-110.25,era
24,-109.5,era
24,-108.75,era
24,-108,era
24,-107.25,era
24,-106.5,era
24,-105.75,era
24,-105,era
24,-104.25,era
24,-103.5,era
24,-102.75,era
24,-102,era
24,-101.25,era
24,-100.5,era
24,-99.75,era
24,-99,era
24,-98.25,era
24,-97.5,era
24,-96.75,era
24,-96,era
24,-95.25,era
24,-94.5,era
24,-93.75,era
24,-93,era
24,-92.25,era
24,-91.5,era
24,-90.75,era
24,-90,era
24,-89.25,era
24,-88.5,era
24,-87.75,era
24,-87,era
24,-86.25,era
24,-85.5,era
24,-84.75,era
24,-84,era
24,-83.25,era
24,-82.5,era
24,-81.75,era
24,-81,era
24,-80.25,era
24,-79.5,era
24,-78.75,era
24,-78,era
24,-77.25,era
24,-76.5,era
24,-75.75,era
24,-75,era
24,-74.25,era
24,-73.5,era
24,-72.75,era
24,-72,era
24,-71.25,era
24,-70.5,era
24,-69.75,era
24,-69,era
24,-68.25,era
24,-67.5,era
24,-66.75,era
24,-66,era
24,-65.25,era
24,-64.5,era
24,-63.75,era
24,-63,era
24,-62.25,era
24,-61.5,era
24,-60.75,era
24,-60,era
24,-59.25,era
24,-58.5,era
24.75,-136.5,era
24.75,-135.75,era
24.75,-135,era
24.75,-134.25,era
24.75,-133.5,era
24.75,-132.75,era
24.75,-132,era
24.75,-131.25,era
24.75,-130.5,era
24.75,-129.75,era
24.75,-129,era
24.75,-128.25,era
24.75,-127.5,era
24.75,-126.75,era
24.75,-126,era
24.75,-125.25,era
24.75,-124.5,era
24.75,-123.75,era
24.75,-123,era
24.75,-122.25,era
24.75,-121.5,era
24.75,-120.75,era
24.75,-120,era
24.75,-119.25,era
24.75,-118.5,era
24.75,-117.75,era
